,2019,2020,2021,2022,2023,2024
Jan,13.58,12.790000000000001,16.61,14.84,17.77,24.41
Feb,12.73,13.71,10.65,14.09,30.34,18.48
Mar,13.200000000000001,10.66,16.88,22.56,14.829999999999998,21.87
Apr,14.99,23.36,11.4,9.44,19.2,21.61
May,17.990000000000002,12.46,10.31,11.450000000000001,19.15,28.64
Jun,14.37,15.14,13.59,14.32,10.780000000000001,31.8
Jul,12.01,12.690000000000001,17.94,11.68,12.49,33.19
Aug,15.02,12.64,24.47,8.4,14.26,25.21
Sep,14.57,7.720000000000001,15.379999999999999,12.18,29.89,20.26
Oct,13.51,11.790000000000001,19.15,14.35,19.06,22.14
Nov,11.709999999999999,13.11,17.79,13.33,26.05,18.01
Dec,11.27,12.620000000000001,17.169999999999998,17.39,22.55,19.0
