,2019,2020,2021,2022,2023,2024
Jan,11.75%,13.13%,12.85%,12.43%,11.16%,38.68% !!!
Feb,14.24%,10.90%,10.25%,15.04%,31.38% !!!,18.19% !!!
Mar,14.46%,13.54%,11.35%,21.50% !!!,16.69%,22.46% !!!
Apr,20.65% !!!,11.76%,11.35%,17.35%,13.94%,24.94% !!!
May,29.46% !!!,17.47%,12.04%,15.00%,8.29%,17.74%
Jun,21.54% !!!,14.78%,16.94%,17.34%,9.40%,20.00% !!!
Jul,14.00%,11.66%,24.29% !!!,9.59%,16.35%,24.10% !!!
Aug,14.16%,12.25%,16.97%,13.51%,24.03% !!!,19.07% !!!
Sep,9.06%,10.31%,9.94%,12.46%,20.50% !!!,37.74% !!!
Oct,10.22%,15.99%,22.66% !!!,11.72%,19.06% !!!,20.35% !!!
Nov,10.91%,18.34% !!!,15.28%,10.49%,28.71% !!!,16.28%
Dec,11.65%,13.34%,15.37%,8.47%,28.81% !!!,22.37% !!!
