,2023,2024
Jan,21.312281813253392,36.309751458656066
Feb,27.035905281036765,29.95295987102274
Mar,21.56042396638556,30.883203210009132
Apr,20.435478533192715,26.561125769569045
May,19.88614048168165,29.227462781896314
Jun,21.402550442908634,25.592379833910872
Jul,22.03172665474245,23.399663392014382
Aug,25.511511503777506,42.47055323981967
Sep,26.029558147291105,52.403064240101685
Oct,26.852019969841777,28.446980379128245
Nov,33.07373054105806,28.713794360077827
Dec,32.77665532192163,28.707227027535154
